DGP,Intercept,Seed,BaseRate,p_null,Metric,USFG_by_aleatoric,USFG_by_epistemic
logistic,0.0,0,0.5092855270894839,0.5128769472803006,Comp_prob,0.03469698982421245,-0.00969345405589909
logistic,0.0,0,0.5092855270894839,0.5128769472803006,NRC,-0.10583682152127974,0.046452361301869874
logistic,0.0,0,0.5092855270894839,0.5128769472803006,decileZ(Comp),-0.02116090299415789,-0.007936129022647172
logistic,0.0,0,0.5092855270894839,0.5128769472803006,decileZ(NRC),0.02993995881683468,0.0031403236652118166
logistic,0.0,0,0.5092855270894839,0.5128769472803006,logit-frac,-0.14755364359752435,0.038397279124036364
logistic,0.0,1,0.5043283408742163,0.5115992586500506,Comp_prob,0.10288768622928046,-0.06045104468970958
logistic,0.0,1,0.5043283408742163,0.5115992586500506,NRC,-0.11246764052851031,0.007758801672276093
logistic,0.0,1,0.5043283408742163,0.5115992586500506,decileZ(Comp),-0.0031429033422893625,-0.0754555670751079
logistic,0.0,1,0.5043283408742163,0.5115992586500506,decileZ(NRC),0.002326135511145834,-0.03670877571010867
logistic,0.0,1,0.5043283408742163,0.5115992586500506,logit-frac,-0.09599558123256248,0.023301686980763025
logistic,0.0,2,0.48983640880774953,0.48813245861359245,Comp_prob,-0.02308452426689176,-0.08943668525763647
logistic,0.0,2,0.48983640880774953,0.48813245861359245,NRC,-0.033077872041273576,0.012528536419355314
logistic,0.0,2,0.48983640880774953,0.48813245861359245,decileZ(Comp),-0.0026368296569236078,-0.07774371152753035
logistic,0.0,2,0.48983640880774953,0.48813245861359245,decileZ(NRC),-0.02782788492691727,0.03430532257021663
logistic,0.0,2,0.48983640880774953,0.48813245861359245,logit-frac,-0.004918540413723974,0.04271816443861207
logistic,0.0,3,0.5042357380669827,0.5064666354113262,Comp_prob,0.09450486362604285,-0.015707842712914692
logistic,0.0,3,0.5042357380669827,0.5064666354113262,NRC,-0.13036196415992715,-0.025435971220724107
logistic,0.0,3,0.5042357380669827,0.5064666354113262,decileZ(Comp),0.03067258815771655,-0.01886730266949836
logistic,0.0,3,0.5042357380669827,0.5064666354113262,decileZ(NRC),-0.027379224490899145,-0.11031029822266974
logistic,0.0,3,0.5042357380669827,0.5064666354113262,logit-frac,-0.06222019188006147,-0.11367353233604287
logistic,0.0,4,0.4948231964071814,0.48750742138144854,Comp_prob,-0.05674382261058582,-0.06509934875243431
logistic,0.0,4,0.4948231964071814,0.48750742138144854,NRC,0.0657147419108409,0.0678635844185919
logistic,0.0,4,0.4948231964071814,0.48750742138144854,decileZ(Comp),-0.004105409312887666,-0.0555622508857211
logistic,0.0,4,0.4948231964071814,0.48750742138144854,decileZ(NRC),-0.021938789724240338,0.08734984498264536
logistic,0.0,4,0.4948231964071814,0.48750742138144854,logit-frac,0.11438728073503061,0.0461199924524356
logistic,0.0,5,0.49559647638677296,0.5011670468976978,Comp_prob,0.04773466140141844,-0.05138794932551868
logistic,0.0,5,0.49559647638677296,0.5011670468976978,NRC,0.0049735676882654845,-0.052443424667750656
logistic,0.0,5,0.49559647638677296,0.5011670468976978,decileZ(Comp),-0.010572987543601182,-0.048988691732169756
logistic,0.0,5,0.49559647638677296,0.5011670468976978,decileZ(NRC),0.014054163463623454,0.10971633867008593
logistic,0.0,5,0.49559647638677296,0.5011670468976978,logit-frac,-0.08856225849644848,-0.065931268910513
logistic,0.0,6,0.4894767710529965,0.4806793420588457,Comp_prob,-0.02519213587261086,-0.05567428422199429
logistic,0.0,6,0.4894767710529965,0.4806793420588457,NRC,-0.10508781306239243,-0.02626590737670908
logistic,0.0,6,0.4894767710529965,0.4806793420588457,decileZ(Comp),0.0009661389684615003,-0.026007044296854204
logistic,0.0,6,0.4894767710529965,0.4806793420588457,decileZ(NRC),0.019471939054871535,-0.08598381890110848
logistic,0.0,6,0.4894767710529965,0.4806793420588457,logit-frac,0.006568394277120506,-0.030345546523920824
logistic,0.0,7,0.509749242781902,0.5150843605686859,Comp_prob,0.07852978684797567,0.07562822306149185
logistic,0.0,7,0.509749242781902,0.5150843605686859,NRC,0.03349402475823508,-0.0014296768467476106
logistic,0.0,7,0.509749242781902,0.5150843605686859,decileZ(Comp),0.021827286321590946,0.07558131611215131
logistic,0.0,7,0.509749242781902,0.5150843605686859,decileZ(NRC),-0.019741880879108817,0.04180414644259459
logistic,0.0,7,0.509749242781902,0.5150843605686859,logit-frac,0.03913051687910837,-0.009325059099750331
logistic,0.0,8,0.49314374044054893,0.4892851518556762,Comp_prob,-0.06885159824257993,0.014686692643728572
logistic,0.0,8,0.49314374044054893,0.4892851518556762,NRC,0.06346557296530225,-0.0075851215174095555
logistic,0.0,8,0.49314374044054893,0.4892851518556762,decileZ(Comp),0.007912515053746922,0.030377825676921523
logistic,0.0,8,0.49314374044054893,0.4892851518556762,decileZ(NRC),0.012079312309197732,-0.06284795145919488
logistic,0.0,8,0.49314374044054893,0.4892851518556762,logit-frac,0.013896231657399824,0.0040463415819674085
logistic,0.0,9,0.5069472280722171,0.5074329214890774,Comp_prob,0.03035494772272421,-0.008966846025193913
logistic,0.0,9,0.5069472280722171,0.5074329214890774,NRC,-0.10819214819799915,-0.013203573709901275
logistic,0.0,9,0.5069472280722171,0.5074329214890774,decileZ(Comp),0.0490625540457276,-0.03664830502989033
logistic,0.0,9,0.5069472280722171,0.5074329214890774,decileZ(NRC),-0.017249864943926288,0.02030851242965962
logistic,0.0,9,0.5069472280722171,0.5074329214890774,logit-frac,-0.0869012083052191,-0.043035526704270514
logistic,0.0,10,0.5070075890285016,0.5080919378998399,Comp_prob,-0.03931223368307852,0.059464475572161446
logistic,0.0,10,0.5070075890285016,0.5080919378998399,NRC,-0.12054877333058363,-0.01175377745671437
logistic,0.0,10,0.5070075890285016,0.5080919378998399,decileZ(Comp),0.029779796259563285,0.04235741682951735
logistic,0.0,10,0.5070075890285016,0.5080919378998399,decileZ(NRC),-0.0038349986591085343,-0.07864895008853326
logistic,0.0,10,0.5070075890285016,0.5080919378998399,logit-frac,-0.15160043013411717,-0.027071383036563795
logistic,0.0,11,0.5020567390936761,0.5003585629808587,Comp_prob,-0.039276773848280884,-0.12871306950035225
logistic,0.0,11,0.5020567390936761,0.5003585629808587,NRC,0.06682589992710332,0.05380090231812912
logistic,0.0,11,0.5020567390936761,0.5003585629808587,decileZ(Comp),0.018517232382279657,-0.11535082548432406
logistic,0.0,11,0.5020567390936761,0.5003585629808587,decileZ(NRC),0.010113088090424093,0.03758663291655779
logistic,0.0,11,0.5020567390936761,0.5003585629808587,logit-frac,-0.019909896050270423,0.1397225105476235
logistic,0.0,12,0.4915424193341369,0.48537843639150596,Comp_prob,-0.09220072525938079,-0.03562367905891615
logistic,0.0,12,0.4915424193341369,0.48537843639150596,NRC,0.020368152986635368,-0.0301559813439407
logistic,0.0,12,0.4915424193341369,0.48537843639150596,decileZ(Comp),-0.00875909593785345,0.00861277542533413
logistic,0.0,12,0.4915424193341369,0.48537843639150596,decileZ(NRC),-0.023444168990792397,0.04287404590498454
logistic,0.0,12,0.4915424193341369,0.48537843639150596,logit-frac,0.10978525153574449,-0.012312184206146163
logistic,0.0,13,0.4920456764389259,0.4819266638882553,Comp_prob,-0.07583540357783483,-0.00873239380237788
logistic,0.0,13,0.4920456764389259,0.4819266638882553,NRC,0.04925760284896576,-0.005484960721866994
logistic,0.0,13,0.4920456764389259,0.4819266638882553,decileZ(Comp),0.012566005740228429,-0.023898019055895066
logistic,0.0,13,0.4920456764389259,0.4819266638882553,decileZ(NRC),-0.03269541897695195,-0.09728744589813904
logistic,0.0,13,0.4920456764389259,0.4819266638882553,logit-frac,0.13201166433407194,-0.024620539806785774
logistic,0.0,14,0.5039182073126585,0.5084025391881111,Comp_prob,0.028948949022314357,-0.009776303680157514
logistic,0.0,14,0.5039182073126585,0.5084025391881111,NRC,-0.10077231885277367,-0.0074075632293514404
logistic,0.0,14,0.5039182073126585,0.5084025391881111,decileZ(Comp),0.016384754233411906,0.03263215024653299
logistic,0.0,14,0.5039182073126585,0.5084025391881111,decileZ(NRC),-0.01240840508588168,-0.034803653138480564
logistic,0.0,14,0.5039182073126585,0.5084025391881111,logit-frac,-0.09700612993359212,0.013988765582123615
logistic,0.0,15,0.5047000538619434,0.5105643730768804,Comp_prob,-0.016001529905248234,0.0049181900388539125
logistic,0.0,15,0.5047000538619434,0.5105643730768804,NRC,-0.1012382354134232,-0.013944419980773436
logistic,0.0,15,0.5047000538619434,0.5105643730768804,decileZ(Comp),-0.003210811287304911,0.02153240672635453
logistic,0.0,15,0.5047000538619434,0.5105643730768804,decileZ(NRC),0.006996233857087196,0.00465306767593297
logistic,0.0,15,0.5047000538619434,0.5105643730768804,logit-frac,-0.10596614279745786,0.03775340439519435
logistic,-0.382,0,0.4498656665145387,0.4181236371856838,Comp_prob,-0.36986747307407847,-0.019978636721776345
logistic,-0.382,0,0.4498656665145387,0.4181236371856838,NRC,-0.09649689895186352,0.0465340204239112
logistic,-0.382,0,0.4498656665145387,0.4181236371856838,decileZ(Comp),-0.005007525283615661,-0.03766135227084824
logistic,-0.382,0,0.4498656665145387,0.4181236371856838,decileZ(NRC),-0.013009669058555866,-0.019408522658064878
logistic,-0.382,0,0.4498656665145387,0.4181236371856838,logit-frac,-0.1239695130030599,0.03839727912403624
logistic,-0.382,1,0.4577460469313788,0.4168799871026782,Comp_prob,-0.19296351863022146,-0.04757154191128751
logistic,-0.382,1,0.4577460469313788,0.4168799871026782,NRC,-0.11859604621844623,0.009463627064309416
logistic,-0.382,1,0.4577460469313788,0.4168799871026782,decileZ(Comp),-0.00099037162821428,-0.0573470902378778
logistic,-0.382,1,0.4577460469313788,0.4168799871026782,decileZ(NRC),0.011977382037836557,-0.02071007624971956
logistic,-0.382,1,0.4577460469313788,0.4168799871026782,logit-frac,-0.10394164745869254,0.02330168698076293
logistic,-0.382,2,0.44013217131966337,0.39425072865982047,Comp_prob,-0.31847608012157097,-0.08586533835709859
logistic,-0.382,2,0.44013217131966337,0.39425072865982047,NRC,0.0029872890918182875,0.01369777489812888
logistic,-0.382,2,0.44013217131966337,0.39425072865982047,decileZ(Comp),0.011303161512222475,-0.07267108026598941
logistic,-0.382,2,0.44013217131966337,0.39425072865982047,decileZ(NRC),-0.009663974794271115,0.03552612721264482
logistic,-0.382,2,0.44013217131966337,0.39425072865982047,logit-frac,0.008209105918917568,0.042718164438611914
logistic,-0.382,3,0.4558377259905119,0.4118962172206125,Comp_prob,-0.1975974490561441,-0.00956772165638535
logistic,-0.382,3,0.4558377259905119,0.4118962172206125,NRC,-0.11374601627789577,-0.022703593439456632
logistic,-0.382,3,0.4558377259905119,0.4118962172206125,decileZ(Comp),0.011742436425166489,-0.014871294440111694
logistic,-0.382,3,0.4558377259905119,0.4118962172206125,decileZ(NRC),0.017849820886690543,-0.0832280309880538
logistic,-0.382,3,0.4558377259905119,0.4118962172206125,logit-frac,-0.040588943599210524,-0.11367353233604274
logistic,-0.382,4,0.44732314784687616,0.3936534540782653,Comp_prob,-0.31755933272664044,-0.06658511694782819
logistic,-0.382,4,0.44732314784687616,0.3936534540782653,NRC,0.052669444595255466,0.035602638458762985
logistic,-0.382,4,0.44732314784687616,0.3936534540782653,decileZ(Comp),0.007419917477122003,-0.05235247613154877
logistic,-0.382,4,0.44732314784687616,0.3936534540782653,decileZ(NRC),0.014638798473843764,0.07370094718158712
logistic,-0.382,4,0.44732314784687616,0.3936534540782653,logit-frac,0.1067299453021088,0.04611999245243555
logistic,-0.382,5,0.4511219303880035,0.40677059435986807,Comp_prob,-0.1659085501092196,-0.05482903421017057
logistic,-0.382,5,0.4511219303880035,0.40677059435986807,NRC,0.006920685728489356,-0.04524124555035967
logistic,-0.382,5,0.4511219303880035,0.40677059435986807,decileZ(Comp),0.0198743422410555,-0.0693094075103774
logistic,-0.382,5,0.4511219303880035,0.40677059435986807,decileZ(NRC),-0.02848476405600641,0.0982645050776419
logistic,-0.382,5,0.4511219303880035,0.40677059435986807,logit-frac,-0.0851203747636932,-0.06593126891051304
logistic,-0.382,6,0.4395005276371435,0.3871468827725147,Comp_prob,-0.3372356428203347,-0.06567843646158972
logistic,-0.382,6,0.4395005276371435,0.3871468827725147,NRC,-0.0810342392668112,-0.026684763455580254
logistic,-0.382,6,0.4395005276371435,0.3871468827725147,decileZ(Comp),-0.013118103246977424,-0.054752950702959144
logistic,-0.382,6,0.4395005276371435,0.3871468827725147,decileZ(NRC),0.008928854930542011,-0.08206108096541936
logistic,-0.382,6,0.4395005276371435,0.3871468827725147,logit-frac,0.013678013151079173,-0.030345546523921067
logistic,-0.382,7,0.46110057060688003,0.4202750857476315,Comp_prob,-0.2841473292754592,0.0826937441219154
logistic,-0.382,7,0.46110057060688003,0.4202750857476315,NRC,0.03810361351345324,-0.0016670937772572318
logistic,-0.382,7,0.46110057060688003,0.4202750857476315,decileZ(Comp),-0.009231068035409642,0.08888437456561346
logistic,-0.382,7,0.46110057060688003,0.4202750857476315,decileZ(NRC),-0.006695233547556948,0.0001237875032213745
logistic,-0.382,7,0.46110057060688003,0.4202750857476315,logit-frac,0.03342350233926071,-0.009325059099749804
logistic,-0.382,8,0.4364149013017096,0.3953529581148747,Comp_prob,-0.4563999058674632,0.01370664200967505
logistic,-0.382,8,0.4364149013017096,0.3953529581148747,NRC,0.054972281916514674,0.009254210973398106
logistic,-0.382,8,0.4364149013017096,0.3953529581148747,decileZ(Comp),-0.014735213808818235,0.035072055073255136
logistic,-0.382,8,0.4364149013017096,0.3953529581148747,decileZ(NRC),-0.015484435020287977,-0.0660650471820451
logistic,-0.382,8,0.4364149013017096,0.3953529581148747,logit-frac,-0.03490316891271061,0.004046341581967766
logistic,-0.382,9,0.4512045010816073,0.4128330000952166,Comp_prob,-0.4111862597724303,-0.012582874870416186
logistic,-0.382,9,0.4512045010816073,0.4128330000952166,NRC,-0.07186865457632943,-0.014013073550095678
logistic,-0.382,9,0.4512045010816073,0.4128330000952166,decileZ(Comp),-0.027690311646670816,-0.031489564954608834
logistic,-0.382,9,0.4512045010816073,0.4128330000952166,decileZ(NRC),-0.015573966702778766,0.032385211157219304
logistic,-0.382,9,0.4512045010816073,0.4128330000952166,logit-frac,-0.06503771771718915,-0.043035526704270376
logistic,-0.382,10,0.4574749901655287,0.41347228815151427,Comp_prob,-0.34120737601145723,0.053183183452994366
logistic,-0.382,10,0.4574749901655287,0.41347228815151427,NRC,-0.10597161341071917,-0.023686883965878047
logistic,-0.382,10,0.4574749901655287,0.41347228815151427,decileZ(Comp),-0.0011397709022390899,0.030940872243978904
logistic,-0.382,10,0.4574749901655287,0.41347228815151427,decileZ(NRC),0.0018926696715900974,-0.12802310873702388
logistic,-0.382,10,0.4574749901655287,0.41347228815151427,logit-frac,-0.1351740115152513,-0.027071383036564076
logistic,-0.382,11,0.4491993770424599,0.4059904528182664,Comp_prob,-0.385188068969908,-0.12657243881933103
logistic,-0.382,11,0.4491993770424599,0.4059904528182664,NRC,0.04446780514768082,0.10919546609487031
logistic,-0.382,11,0.4491993770424599,0.4059904528182664,decileZ(Comp),-0.02298224130703959,-0.11323218799561396
logistic,-0.382,11,0.4491993770424599,0.4059904528182664,decileZ(NRC),0.013545409659149106,0.08729915066278338
logistic,-0.382,11,0.4491993770424599,0.4059904528182664,logit-frac,-0.019576879110300864,0.13972251054762352
logistic,-0.382,12,0.4294046060166819,0.3916211365080522,Comp_prob,-0.5923884874449806,-0.031136677608637087
logistic,-0.382,12,0.4294046060166819,0.3916211365080522,NRC,0.0538604007099495,-0.024532971413022766
logistic,-0.382,12,0.4294046060166819,0.3916211365080522,decileZ(Comp),-0.03321766693525715,-0.01088595162174497
logistic,-0.382,12,0.4294046060166819,0.3916211365080522,decileZ(NRC),0.01408304894095746,0.044052561058989935
logistic,-0.382,12,0.4294046060166819,0.3916211365080522,logit-frac,0.11122537564678416,-0.012312184206146269
logistic,-0.382,13,0.44580458321303923,0.3883329864461892,Comp_prob,-0.3428311615349192,-0.01724997951309074
logistic,-0.382,13,0.44580458321303923,0.3883329864461892,NRC,0.1324141403888874,-0.007859566840534885
logistic,-0.382,13,0.44580458321303923,0.3883329864461892,decileZ(Comp),0.010295832778377246,-0.042310374295795934
logistic,-0.382,13,0.44580458321303923,0.3883329864461892,decileZ(NRC),0.014172138227030994,-0.08789491482507888
logistic,-0.382,13,0.44580458321303923,0.3883329864461892,logit-frac,0.1676532508567249,-0.02462053980678579
logistic,-0.382,14,0.44468950884851055,0.4137737018752022,Comp_prob,-0.38958564310903376,-0.01625391363090966
logistic,-0.382,14,0.44468950884851055,0.4137737018752022,NRC,-0.07292391797899761,0.0007728292834051048
logistic,-0.382,14,0.44468950884851055,0.4137737018752022,decileZ(Comp),0.012399993085733706,0.016258413832328497
logistic,-0.382,14,0.44468950884851055,0.4137737018752022,decileZ(NRC),-0.019500275198980663,-0.0507014430499846
logistic,-0.382,14,0.44468950884851055,0.4137737018752022,logit-frac,-0.09852047970666968,0.013988765582123005
logistic,-0.382,15,0.4596465076517079,0.4158735543480792,Comp_prob,-0.270340527303895,0.009581214904240623
logistic,-0.382,15,0.4596465076517079,0.4158735543480792,NRC,-0.08808055619458482,-0.009380945002834297
logistic,-0.382,15,0.4596465076517079,0.4158735543480792,decileZ(Comp),-0.013043737333569502,0.04325675517146353
logistic,-0.382,15,0.4596465076517079,0.4158735543480792,decileZ(NRC),0.005350748875616967,-0.01920372850555871
logistic,-0.382,15,0.4596465076517079,0.4158735543480792,logit-frac,-0.11947178200792227,0.03775340439519389
logistic,-0.764,0,0.39142127205861327,0.3290509018794662,Comp_prob,-0.8094203625234988,-0.029913673558746377
logistic,-0.764,0,0.39142127205861327,0.3290509018794662,NRC,-0.019715889273870302,0.05717169879672115
logistic,-0.764,0,0.39142127205861327,0.3290509018794662,decileZ(Comp),-0.007901918851337363,-0.05029651947288602
logistic,-0.764,0,0.39142127205861327,0.3290509018794662,decileZ(NRC),-0.02950745366290802,-0.017850210486326682
logistic,-0.764,0,0.39142127205861327,0.3290509018794662,logit-frac,-0.037444250586655826,0.038397279124036385
logistic,-0.764,1,0.4119752934491935,0.32792287945504944,Comp_prob,-0.5034449303716225,-0.033109509081812795
logistic,-0.764,1,0.4119752934491935,0.32792287945504944,NRC,-0.1090120677541385,0.02872172772920858
logistic,-0.764,1,0.4119752934491935,0.32792287945504944,decileZ(Comp),0.012836294767657682,-0.012036074144472862
logistic,-0.764,1,0.4119752934491935,0.32792287945504944,decileZ(NRC),-0.02494521191644535,-0.030457709322676517
logistic,-0.764,1,0.4119752934491935,0.32792287945504944,logit-frac,-0.11102096658950544,0.023301686980763178
logistic,-0.764,2,0.39157402148155723,0.30757540172386894,Comp_prob,-0.6542448110266177,-0.08163165821252083
logistic,-0.764,2,0.39157402148155723,0.30757540172386894,NRC,0.011635904544135437,-0.004328327800164843
logistic,-0.764,2,0.39157402148155723,0.30757540172386894,decileZ(Comp),-0.009291688726635447,-0.0718071297847034
logistic,-0.764,2,0.39157402148155723,0.30757540172386894,decileZ(NRC),0.007605297357768458,0.02690109606242935
logistic,-0.764,2,0.39157402148155723,0.30757540172386894,logit-frac,-0.009549973700809556,0.04271816443861198
logistic,-0.764,3,0.4081764338835438,0.32341275541332837,Comp_prob,-0.5276256965218041,-0.0027536770305961467
logistic,-0.764,3,0.4081764338835438,0.32341275541332837,NRC,-0.05360477913072019,-0.019655913277732195
logistic,-0.764,3,0.4081764338835438,0.32341275541332837,decileZ(Comp),-0.03954814557316307,-0.0186725974465045
logistic,-0.764,3,0.4081764338835438,0.32341275541332837,decileZ(NRC),-0.01875689387969791,-0.07888061444493757
logistic,-0.764,3,0.4081764338835438,0.32341275541332837,logit-frac,-0.008267999003777499,-0.11367353233604272
logistic,-0.764,4,0.4004889481995501,0.3070428784634016,Comp_prob,-0.618475093939178,-0.06829227200678722
logistic,-0.764,4,0.4004889481995501,0.3070428784634016,NRC,0.0802790321899771,0.04182752871337961
logistic,-0.764,4,0.4004889481995501,0.3070428784634016,decileZ(Comp),-0.029585821484731004,-0.055223788380343614
