Dataset,Model,AUC,Epistemic_Pct,Gating_AUC_std,AURC,rho_raw_epistemic,rho_partial_epistemic,rho_aleatoric,Sig_after_partial,Jaccard_SHAP
HOME CREDIT,M2,0.7253499999999999,0.0,,,,,0.7664442626110657,False,0.7374078933822643
HOME CREDIT,M3,0.7261070000000001,1.2816442565084614,0.7080992906386248,0.058433705448558554,0.41254601213650305,-0.014832470208117551,0.7660054450013611,False,0.7374078933822643
HOME CREDIT,M4,0.728987,0.6195639503123557,0.7262883812331122,0.052828390420378554,0.48614097696754716,-0.010069609017402255,0.7617192759654637,False,0.7435579903521434
HOME CREDIT,M5,0.728529,1.7616820158678441,0.7193662490788505,0.05399374871938975,0.4167588096897024,-0.028180762045190513,0.7592707163176791,False,0.736732418030819
TAIWAN,M2,0.7761945,0.0,,,,,0.7078404137255436,False,0.8257010582010581
TAIWAN,M3,0.775298,1.7916523272455929,0.5904765624999999,0.1577182714612802,0.10290413272603319,-0.06933427733356932,0.715807255951814,True,0.8257010582010581
TAIWAN,M4,0.7791515,0.583993211216507,0.6204461695039541,0.1399806144755135,0.211408802681479,-0.10939150013889687,0.7050235757702779,True,0.8091181657848324
TAIWAN,M5,0.777149,2.200663436799082,0.5795221425479457,0.15914013687471246,0.20686134521533633,-0.005944495486123871,0.7185995816498955,False,0.811706349206349
GMSC,M2,0.8621274999999999,0.0,,,,,0.8662109107358543,False,0.9570370370370369
GMSC,M3,0.861178,1.7664507824908648,0.8250751101355873,0.017782247620769184,0.7233913660839352,0.029860157965039495,0.8660115536606171,False,0.9570370370370369
GMSC,M4,0.8636915000000001,0.6353167001556791,0.7755459479929312,0.024725249010829703,0.6295387819221725,-0.026014560532906513,0.8780981300268096,False,0.9688888888888888
GMSC,M5,0.8629509999999999,2.2408428239427067,0.7096311049255332,0.030374372884101962,0.5016318110688116,-0.03919734829933707,0.8767631836977647,False,0.9829629629629629
