Dataset,Model,Component,Mean,Std,CV,Min,Max,Median
HOME CREDIT,M2,epistemic,0.0,0.0,0.0,0.0,0.0,0.0
HOME CREDIT,M2,aleatoric,0.3000154501999125,0.16486905199749213,0.5495352052290413,0.0127515638715094,0.6836036123043663,0.2717527962660877
HOME CREDIT,M2,intra,0.0,0.0,0.0,0.0,0.0,0.0
HOME CREDIT,M2,inter,0.0,0.0,0.0,0.0,0.0,0.0
HOME CREDIT,M3,epistemic,0.0032225730555082406,0.0015921440995690912,0.4940598931799825,0.0004324256719014,0.0150547198224246,0.002876204776926
HOME CREDIT,M3,aleatoric,0.29880714121335444,0.1585950002042333,0.530760408068672,0.0129156192491105,0.6806071631719888,0.2738689935992491
HOME CREDIT,M3,intra,0.0032225730555082406,0.0015921440995690912,0.4940598931799825,0.0004324256719014,0.0150547198224246,0.002876204776926
HOME CREDIT,M3,inter,0.0,0.0,0.0,0.0,0.0,0.0
HOME CREDIT,M4,epistemic,0.0017808387844126853,0.0015535358620478437,0.8723618755642694,0.0001689953735404,0.0125857934640438,0.0012886850132722
HOME CREDIT,M4,aleatoric,0.30662077896668094,0.1680780762740784,0.54816270717368,0.0311924025654639,0.6841774080911772,0.2836697255371089
HOME CREDIT,M4,intra,0.0,0.0,0.0,0.0,0.0,0.0
HOME CREDIT,M4,inter,0.0017808387844126853,0.0015535358620478437,0.8723618755642694,0.0001689953735404,0.0125857934640438,0.0012886850132722
HOME CREDIT,M5,epistemic,0.0047331235380001805,0.0028396046003060175,0.599943056104087,0.0007186207424856,0.0237703965052639,0.00402381967041715
HOME CREDIT,M5,aleatoric,0.3082250353757005,0.16697831417758083,0.5417415687017385,0.0254979421363551,0.6824704789503079,0.2799028692401875
HOME CREDIT,M5,intra,0.0031925645265090123,0.0015547633626932032,0.4869951256375379,0.0003794434053805,0.0155287858681177,0.00291384247214565
HOME CREDIT,M5,inter,0.0015405590114911207,0.0016936984103045703,1.0994050845642223,8.931075282048173e-06,0.0175828027343198,0.0009997320456791498
TAIWAN,M2,epistemic,0.0,0.0,0.0,0.0,0.0,0.0
TAIWAN,M2,aleatoric,0.45502134002672473,0.1663174598284256,0.36551573563265694,0.0455637612676876,0.693147024800983,0.4540139328286166
TAIWAN,M2,intra,0.0,0.0,0.0,0.0,0.0,0.0
TAIWAN,M2,inter,0.0,0.0,0.0,0.0,0.0,0.0
TAIWAN,M3,epistemic,0.007395294721928687,0.0040955186217326005,0.5538005956122993,0.0015161437354619,0.0412588305855667,0.0064247199342428
TAIWAN,M3,aleatoric,0.4546834187951807,0.1600968096796789,0.35210610957378463,0.0623910959841283,0.690875732155138,0.4490280452617717
TAIWAN,M3,intra,0.007395294721928687,0.0040955186217326005,0.5538005956122993,0.0015161437354619,0.0412588305855667,0.0064247199342428
TAIWAN,M3,inter,0.0,0.0,0.0,0.0,0.0,0.0
TAIWAN,M4,epistemic,0.00235941412592018,0.0019005417597146718,0.8055142752752037,0.0002489364129716,0.016883339376205,0.00177644930284665
TAIWAN,M4,aleatoric,0.4524558575382958,0.16626117833356308,0.3674638653992688,0.0517551989070777,0.6924098855798181,0.45059958879647544
TAIWAN,M4,intra,0.0,0.0,0.0,0.0,0.0,0.0
TAIWAN,M4,inter,0.00235941412592018,0.0019005417597146718,0.8055142752752037,0.0002489364129716,0.016883339376205,0.00177644930284665
TAIWAN,M5,epistemic,0.009220815519777055,0.004897970033754573,0.5311862083401705,0.001924534344961,0.0546469872527983,0.0080045992495571
TAIWAN,M5,aleatoric,0.457415652772297,0.15755171063255194,0.34443882643207596,0.0611192654877288,0.6892336232177773,0.44685555165397206
TAIWAN,M5,intra,0.007044396265843472,0.0034893532501287933,0.4953374453177486,0.0014655383095539,0.0399669542530183,0.00622355825799635
TAIWAN,M5,inter,0.0021764192539335354,0.002201085780404724,1.0113335362323266,2.8712363429050924e-06,0.0268522347481125,0.00149601928950225
GMSC,M2,epistemic,0.0,0.0,0.0,0.0,0.0,0.0
GMSC,M2,aleatoric,0.2823318620018664,0.22614983771129876,0.8010071414107833,0.0167358996809871,0.6931471278364228,0.2043018321183142
GMSC,M2,intra,0.0,0.0,0.0,0.0,0.0,0.0
GMSC,M2,inter,0.0,0.0,0.0,0.0,0.0,0.0
GMSC,M3,epistemic,0.003985148283761557,0.002823811230541161,0.7085837287529445,0.0003212716893641,0.0223931490958402,0.00330999327891325
GMSC,M3,aleatoric,0.28518463393127425,0.21930643149574497,0.7689980644209427,0.02067811710593,0.6890299279611591,0.2087482989639003
GMSC,M3,intra,0.003985148283761557,0.002823811230541161,0.7085837287529445,0.0003212716893641,0.0223931490958402,0.00330999327891325
GMSC,M3,inter,0.0,0.0,0.0,0.0,0.0,0.0
GMSC,M4,epistemic,0.0015188327248832872,0.0009548096076910615,0.6286469813615799,0.0002363830173146,0.0182628267546838,0.00128805805983345
GMSC,M4,aleatoric,0.3116634650016872,0.21402716141619954,0.6867252195089371,0.0319001491823206,0.6919970479722005,0.2497769033460766
GMSC,M4,intra,0.0,0.0,0.0,0.0,0.0,0.0
GMSC,M4,inter,0.0015188327248832872,0.0009548096076910615,0.6286469813615799,0.0002363830173146,0.0182628267546838,0.00128805805983345
GMSC,M5,epistemic,0.005309331273790011,0.002977438926336327,0.5607935863852987,0.0007621227576472,0.0320508173742356,0.0046914516541821
GMSC,M5,aleatoric,0.3128993400890435,0.20909674989094282,0.6682556435927254,0.0375446604070307,0.6887729816433688,0.2474301232332134
GMSC,M5,intra,0.0035904597945955958,0.002143350355410635,0.596957069018523,0.0005615210614715,0.0229095935411786,0.00312305363586825
GMSC,M5,inter,0.0017188714791943637,0.0013631422423917505,0.7930448895636201,6.40187269678183e-05,0.0186128466353369,0.0013936220643418
