Dataset,Model,Split,AUC,AUPRC,ECE,NLL,Brier,N,Prevalence,Mean_Aleatoric,Mean_Intra,Mean_Inter,Mean_Epistemic,Mean_Total,Epistemic_Pct
HOME CREDIT,M1,balanced,0.737654,0.7275679533680725,0.38553411605954163,1.1591314076381096,0.37035401220781683,2000,0.5,,,,,,
HOME CREDIT,M1,natural,0.7133739362589688,0.21951177873035085,0.0191009546071291,0.2526413086694374,0.06786314935238393,2000,0.078,,,,,,
HOME CREDIT,M2,balanced,0.7253499999999999,0.7218980715476719,0.3934413173413486,1.1671496824887508,0.37984463336792273,2000,0.5,0.30001545019991255,0.0,0.0,0.0,0.30001545019991255,0.0
HOME CREDIT,M2,natural,0.7193635630457755,0.24133550638260143,0.0161371166507015,0.24916406493768148,0.06703437975084416,2000,0.07800000160932541,0.24788762411136822,0.0,0.0,0.0,0.24788762411136822,0.0
HOME CREDIT,M3,balanced,0.7261070000000001,0.7230805727150633,0.3941199019992242,1.1625679911423612,0.3809198189350718,2000,0.5,0.29880714121335444,0.003222573055508292,0.0,0.003222573055508292,0.30202971426886277,1.2816442565084614
HOME CREDIT,M3,natural,0.7205176873018522,0.2392114848445581,0.012671755929778445,0.24866960834759627,0.06697937837536692,2000,0.07800000160932541,0.24836427577572917,0.003022523637377148,0.0,0.003022523637377148,0.2513867994131063,1.435184326777241
HOME CREDIT,M4,balanced,0.728987,0.724894607673442,0.38862168494504884,1.1450928612432403,0.3746507688217272,2000,0.5,0.306620778966681,0.0,0.001780838784412735,0.001780838784412735,0.3084016177510937,0.6195639503123557
HOME CREDIT,M4,natural,0.7184666833528006,0.24222762705047002,0.012612096086679087,0.24984301708217913,0.06710835257064644,2000,0.07800000160932541,0.24956653496646364,0.0,0.0015388682590319026,0.0015388682590319026,0.25110540322549557,0.6478112383693643
HOME CREDIT,M5,balanced,0.728529,0.7247824772637066,0.38677308485023526,1.135193384507964,0.3732443572781849,2000,0.5,0.30822503537570056,0.0031925645265090618,0.001540559011491169,0.00473312353800023,0.3129581589137008,1.7616820158678441
HOME CREDIT,M5,natural,0.7194748039379276,0.24008942224948557,0.013270247005819982,0.2499136094072619,0.06726252505111886,2000,0.07800000160932541,0.2523118008269926,0.002944016367987083,0.0013464874196786397,0.004290503787665723,0.2566023046146583,1.9261584286618696
TAIWAN,M1,balanced,0.7472114999999999,0.762411887935702,0.23174502869509161,0.8105032981158874,0.2598636549209046,2000,0.5,,,,,,
TAIWAN,M1,natural,0.7530248247722544,0.503223079178302,0.050294082080945365,0.4418817467271583,0.13436264059863748,2000,0.2015,,,,,,
TAIWAN,M2,balanced,0.7761945,0.7944811518908439,0.23196449504140762,0.7278577829638696,0.2476063435808797,2000,0.5,0.45502134002672473,0.0,0.0,0.0,0.45502134002672473,0.0
TAIWAN,M2,natural,0.7659670505025707,0.5260664010841914,0.018545030021574344,0.4155213842386295,0.12865309791889343,2000,0.20149999856948853,0.4088486261133378,0.0,0.0,0.0,0.4088486261133378,0.0
TAIWAN,M3,balanced,0.775298,0.7930465794373,0.23635475192400218,0.730448764869715,0.2504346799684697,2000,0.5,0.4546834187951807,0.007395294721928737,0.0,0.007395294721928737,0.46207871351710944,1.7916523272455929
TAIWAN,M3,natural,0.7654675096451008,0.5195894845530384,0.016713082696263894,0.41605733198790495,0.12899319156342176,2000,0.20149999856948853,0.4091726370581275,0.007167412862240834,0.0,0.007167412862240834,0.4163400499203683,1.931439408889584
TAIWAN,M4,balanced,0.7791515,0.7953174642303056,0.23375843687713735,0.7272423223450676,0.24769580962342225,2000,0.5,0.45245585753829587,0.0,0.0023594141259202285,0.0023594141259202285,0.4548152716642161,0.583993211216507
TAIWAN,M4,natural,0.7727361010331095,0.52651116548971,0.022764204759109702,0.4127762296624818,0.12816847979280455,2000,0.20149999856948853,0.4049544493723097,0.0,0.002266740017407989,0.002266740017407989,0.4072211893897177,0.6322839598022424
TAIWAN,M5,balanced,0.777149,0.7932761744779191,0.23561217086465916,0.726971973251189,0.24998197098241803,2000,0.5,0.457415652772297,0.0070443962658435205,0.0021764192539335844,0.009220815519777105,0.46663646829207417,2.200663436799082
TAIWAN,M5,natural,0.769976584507863,0.5168861434510135,0.023779020136518274,0.4150544048165846,0.12894411051495028,2000,0.20149999856948853,0.4112109405981261,0.0067719102007529,0.0021295177383292186,0.008901427939082121,0.4201123685372081,2.3790843579375776
GMSC,M1,balanced,0.8582865000000002,0.8506885696780652,0.35096614791825415,1.0327087807220379,0.31433249101902644,2000,0.5,,,,,,
GMSC,M1,natural,0.8466279090067913,0.35069412552861456,0.015236788169480863,0.17601114199712173,0.04766590803352713,2000,0.061,,,,,,
GMSC,M2,balanced,0.8621274999999999,0.8540263677361367,0.36762151127192183,1.0368895064710992,0.3266155865600742,2000,0.5,0.28233186200186644,0.0,0.0,0.0,0.28233186200186644,0.0
GMSC,M2,natural,0.8775292864749734,0.364953306283248,0.012312832607189192,0.16423575841592372,0.04578442831641293,2000,0.061000000685453415,0.16957460868908736,0.0,0.0,0.0,0.16957460868908736,0.0
GMSC,M3,balanced,0.861178,0.8533716099833996,0.3671818459502561,1.0233646967825771,0.3269117348578885,2000,0.5,0.28518463393127425,0.003985148283761605,0.0,0.003985148283761605,0.28916978221503586,1.7664507824908648
GMSC,M3,natural,0.8771713891653137,0.3670730480823432,0.013940356385938936,0.165126468198861,0.04581548114164756,2000,0.061000000685453415,0.17570942703575446,0.002961503863392157,0.0,0.002961503863392157,0.17867093089914665,2.0317908664827216
GMSC,M4,balanced,0.8636915000000001,0.8544739928694051,0.3608970818431024,0.9684187170281233,0.32115496171872204,2000,0.5,0.3116634650016873,0.0,0.0015188327248833364,0.0015188327248833364,0.3131822977265706,0.6353167001556791
GMSC,M4,natural,0.8785331447825555,0.3696679978735552,0.020388158873727077,0.16644439084939494,0.04560728181635116,2000,0.061000000685453415,0.20160986825302715,0.0,0.0012181080000449303,0.0012181080000449303,0.20282797625307208,0.7557288655192833
GMSC,M5,balanced,0.8629509999999999,0.8544556667551171,0.35874672986398154,0.960102985862639,0.3199545280803641,2000,0.5,0.3128993400890436,0.0035904597945956456,0.001718871479194414,0.00530933127379006,0.3182086713628336,2.2408428239427067
GMSC,M5,natural,0.8786684474240123,0.3656517074349622,0.02490247547660023,0.1677735698155839,0.045738762719090574,2000,0.061000000685453415,0.20566876200637596,0.0028737061559344743,0.0015200893712306112,0.004393795527165086,0.21006255753354106,2.6786892018217703
