Metric,FPR_aleatoric,FPR_epistemic,MDE_at_80pct_power,max_power_tested,T4_PASS,MDE_family_1,MDE_family_5,MDE_family_66
Comp_prob,1.0,0.0,,0.04,False,,,
NRC,0.4444444444444444,0.0,0.16560050504818535,0.88,False,0.16560050504818535,0.16560050504818535,0.16560050504818535
decileZ(Comp),0.0,0.0,,0.04,False,,,
decileZ(NRC),0.0,0.0,0.21500117936869906,1.0,True,0.16453344652418975,0.18219715301976802,0.21500117936869906
logit-frac,0.0,0.0,0.17245198798843112,0.96,True,0.17245198798843112,0.17245198798843112,0.17245198798843112
