Dataset,n_cols_live,n_pairs,mean_signed_error,mean_abs_error,n_strong_pairs,strong_mean_signed_error,strong_max_abs_error
HOME CREDIT,94,4371,-0.01134074561928638,0.029383732128622452,196,-0.09053734314835646,0.2580709213059049
TAIWAN,23,253,-0.0069540251360091865,0.021533825146054748,81,-0.027656607916224357,0.12301961826283181
GMSC,10,45,-0.011694096211899003,0.03667570711454961,0,,
