Metric,slope,R2,R2_gap_raw_no_SD,USFG@0.5(interp),USFG@1.0,ratio_1.0/0.5,single_run_floor,SNR,T3_PASS
Comp_prob,0.17821078880860097,0.9910556610042321,0.9893985972570777,0.09049102206147082,0.17787331716599994,1.965646017846611,1.7833433910001886,0.09974148448563215,False
NRC,0.1470213029792846,0.9782079868455362,0.9510355985768802,0.06370970627366018,0.15320664630065978,2.4047614604056142,0.10617386664610594,1.4429788717342416,False
decileZ(Comp),0.09494875740495513,0.8942342887898362,0.8942342887898362,0.06443932930582665,0.08684306268073659,1.3476717342693414,0.05505408547755829,1.5774135911518583,False
decileZ(NRC),0.3589755402418677,0.9943298550190922,0.9943298550190922,0.17616609796705454,0.36688383830353044,2.082601831665379,0.04532622996826136,8.094294155071628,True
logit-frac,0.1605042423382311,0.9672754312189943,0.9452719122957345,0.050313455171320985,0.1551544854960173,3.0837573163620933,0.098293327240708,1.5784844185410825,False
