Arm,Stratifier,DGP,Intercept,Strength,Rep,Metric,USFG,CI_lo,CI_hi,CI_excludes_0,MannWhitney_p,p_FDR,Declared
FPR,aleatoric,logistic,-3.6,0.0,0,Comp_prob,-1.4843152309717527,-1.5808250063753475,-1.3956420383979922,True,2.5245441906514253e-195,1.6661991658299407e-193,True
FPR,aleatoric,logistic,-3.6,0.0,0,NRC,0.057288805396204914,0.016942992157869936,0.10923058569791995,True,2.2538155385632052e-10,4.958394184839051e-09,True
FPR,aleatoric,logistic,-3.6,0.0,0,decileZ(Comp),-0.012528077251356391,-0.12158458169555829,0.08971812963723926,False,6.920464448127216e-10,1.1418766339409906e-08,False
FPR,aleatoric,logistic,-3.6,0.0,0,decileZ(NRC),-0.003872228261704895,-0.11460426856063383,0.10644855244828029,False,1.127225604516741e-16,3.719844494905245e-15,False
FPR,aleatoric,logistic,-3.6,0.0,0,logit-frac,0.0018540255396681331,-0.017021624962089036,0.019686295632810328,False,0.4660068779048041,0.9000027948165982,False
FPR,epistemic,logistic,-3.6,0.0,0,Comp_prob,0.09027412038175454,-0.021116780164132248,0.2052457444071487,False,0.013993013105822438,0.8386791304465688,False
FPR,epistemic,logistic,-3.6,0.0,0,NRC,-0.006896205375646594,-0.1277380471464829,0.14014671031070614,False,0.6255605049409757,0.9862172502225461,False
FPR,epistemic,logistic,-3.6,0.0,0,decileZ(Comp),0.051064556124611436,-0.04706508598216938,0.1563615087016358,False,0.1273248389012821,0.9862172502225461,False
FPR,epistemic,logistic,-3.6,0.0,0,decileZ(NRC),-0.028296703962426603,-0.14429731003624602,0.08933328354664305,False,0.8214995934363734,0.9862172502225461,False
FPR,epistemic,logistic,-3.6,0.0,0,logit-frac,0.048852495579405714,-0.07549937119345837,0.1576900642100008,False,0.9259185276894695,0.9862172502225461,False
FPR,aleatoric,logistic,-3.6,0.0,1,Comp_prob,-1.785470602864474,-1.935947849773937,-1.6504792342490868,True,1.4120227838679997e-199,9.319350373528799e-198,True
FPR,aleatoric,logistic,-3.6,0.0,1,NRC,-0.003683684677326113,-0.038875244985199904,0.03420538777806097,False,3.047067401452589e-14,1.0055322424793544e-12,False
FPR,aleatoric,logistic,-3.6,0.0,1,decileZ(Comp),-0.044483236431963176,-0.15026603870722088,0.06243915139066334,False,1.4937339064679146e-09,2.4646609456720592e-08,False
FPR,aleatoric,logistic,-3.6,0.0,1,decileZ(NRC),-0.028774320273677198,-0.14055536326751378,0.096214037401939,False,3.920762706220177e-11,8.62567795368439e-10,False
FPR,aleatoric,logistic,-3.6,0.0,1,logit-frac,-0.007466737380790222,-0.026752282345474623,0.011132678201779609,False,0.4166128743580144,0.7313974539561432,False
