Dataset,Variant,Method,Model,K,Comp,Suff,CompRandom,SuffRandom,Comp_beats_random
TAIWAN,logit,SHAP,M2,5,0.24772746174409985,-0.10046805775165558,-0.0300101417277765,0.15811849827899097,True
TAIWAN,logit,SHAP,M2,7,0.28262822088226675,-0.0766226376928389,-0.028211487348773517,0.10667674809560686,True
TAIWAN,logit,SHAP,M2,9,0.2808915746323764,-0.03895792850106954,-0.009968747869344952,0.06038027576959575,True
TAIWAN,logit,SHAP,M2,12,0.28572423630952837,-0.003939928790088743,0.030570664196216967,0.007281031341815833,True
TAIWAN,logit,SHAP,M3,2,0.18215297160623595,-0.07049749815231189,-0.023114735614995878,0.2575680680994774,True
TAIWAN,logit,SHAP,M3,5,0.24772746174409985,-0.10046805775165558,-0.0300101417277765,0.15811849827899097,True
TAIWAN,logit,SHAP,M3,7,0.28262822088226675,-0.0766226376928389,-0.028211487348773517,0.10667674809560686,True
TAIWAN,logit,SHAP,M3,9,0.2808915746323764,-0.03895792850106954,-0.009968747869344952,0.06038027576959575,True
TAIWAN,logit,SHAP,M3,12,0.28572423630952837,-0.003939928790088743,0.030570664196216967,0.007281031341815833,True
TAIWAN,logit,SHAP,M4,2,0.18073745105601846,-0.07305238907970488,-0.027056543218738623,0.24897252996449823,True
TAIWAN,logit,SHAP,M4,5,0.23387598311156035,-0.11021661363868043,-0.040735200252762296,0.14586560249816374,True
TAIWAN,logit,SHAP,M4,7,0.2792321009337902,-0.08299556089239195,-0.04035460640920792,0.09108871283289045,True
TAIWAN,logit,SHAP,M4,9,0.27914974228292705,-0.05695101342629641,-0.025475057994462987,0.04589051849617681,True
TAIWAN,logit,SHAP,M4,12,0.26110998494178056,-0.021601928864605723,0.016549174969346495,-0.006300083311209846,True
TAIWAN,logit,SHAP,M5,2,0.1837832806929946,-0.057285770799964664,-0.024201480398689454,0.24760376683186042,True
TAIWAN,logit,SHAP,M5,5,0.2386486174557358,-0.09230200277408585,-0.03570285490882816,0.1482883969075265,True
TAIWAN,logit,SHAP,M5,7,0.270183617265895,-0.06473706181067973,-0.034730720480049056,0.0953857245866675,True
TAIWAN,logit,SHAP,M5,9,0.26384479787386955,-0.04740095958020538,-0.018527262431554847,0.05116790065399255,True
TAIWAN,logit,SHAP,M5,12,0.2566295350193977,-0.010743651802651584,0.02212658539113181,0.0004484579567288165,True
TAIWAN,logit,LIME,M1,2,0.3123796014618129,0.12898213379830123,0.030271634486329278,0.431492961303913,True
TAIWAN,logit,LIME,M1,5,0.4576073957551271,-0.07884353151544929,0.05989780022362174,0.3368925654544437,True
TAIWAN,logit,LIME,M1,7,0.42122256878763437,-0.0768943140860647,0.08619774910697015,0.2634894725943741,True
TAIWAN,logit,LIME,M1,9,0.4160328042320907,-0.07901432238146663,0.10551053156331182,0.20300148883175642,True
