Dataset,Model,Method,Component,USFG_decileZ_NRC,CI95_low,CI95_high,CI_excludes_0,MannWhitney_p,rank_biserial,n_Q1,n_Q4,n_valid,Degenerate,p_FDR,Sig_FDR,floor,MDE,abs_USFG,decision_rule_NB6,Verdict,above_floor,above_MDE
HOME CREDIT,M5,SHAP,intra,0.0330201410276345,-0.1121021173530735,0.1681004116612841,False,0.003127199884733,0.1113535536441828,470,470,1880,False,0.0058970054969251,True,0.03873613019654433,0.2751453595749029,0.0330201410276345,False,below detection floor - not distinguishable from zero,0.0,0.0
HOME CREDIT,M5,SHAP,inter,-0.0441302032275013,-0.1744891651021698,0.0741239423142738,False,0.0564097105359477,0.0718967858759619,470,470,1880,False,0.0846145658039216,False,0.03873613019654433,0.2751453595749029,0.0441302032275013,False,above floor but below MDE - inconclusive,1.0,0.0
HOME CREDIT,M5,LIME,epistemic,0.0361515357002135,-0.0991266830330093,0.166529864727678,False,0.0011599131276085,0.1224173834314169,470,470,1880,False,0.0025518088807388,True,0.03873613019654433,0.2751453595749029,0.0361515357002135,False,below detection floor - not distinguishable from zero,0.0,0.0
HOME CREDIT,M5,LIME,aleatoric,0.0122666672106425,-0.1190270751733994,0.1421253029279256,False,4.574061641257029e-07,0.190049796287913,470,470,1880,False,2.3222159101766456e-06,True,0.03873613019654433,0.2751453595749029,0.0122666672106425,False,below detection floor - not distinguishable from zero,0.0,0.0
HOME CREDIT,M5,LIME,intra,-0.0341260923884094,-0.1779427960889166,0.1097885471506562,False,7.09104006674488e-05,0.1497238569488456,470,470,1880,False,0.0002034820193065,True,0.03873613019654433,0.2751453595749029,0.0341260923884094,False,below detection floor - not distinguishable from zero,0.0,0.0
HOME CREDIT,M5,LIME,inter,0.0952069195072966,-0.0328449009288829,0.2334675505589681,False,0.0529599182049535,0.0729289271163422,470,470,1880,False,0.0812873163145798,False,0.03873613019654433,0.2751453595749029,0.0952069195072966,False,above floor but below MDE - inconclusive,1.0,0.0
TAIWAN,M2,SHAP,epistemic,,,,False,,,1944,1944,1944,True,,False,0.045795977204345806,,,False,N/A - component is structurally zero,,
TAIWAN,M2,SHAP,aleatoric,0.0016269508475837,-0.1253954908101752,0.1414615468846204,False,0.0004363670763532,0.1303324357736794,486,486,1944,False,0.0010285795371184,True,0.045795977204345806,,0.0016269508475837,False,below detection floor - not distinguishable from zero,0.0,0.0
TAIWAN,M2,SHAP,intra,,,,False,,,1944,1944,1944,True,,False,0.045795977204345806,,,False,N/A - component is structurally zero,,
TAIWAN,M2,SHAP,inter,,,,False,,,1944,1944,1944,True,,False,0.045795977204345806,,,False,N/A - component is structurally zero,,
TAIWAN,M2,LIME,epistemic,,,,False,,,1944,1944,1944,True,,False,0.045795977204345806,,,False,N/A - component is structurally zero,,
