Dataset,Model,Method,Component,USFG_decileZ_NRC,CI95_low,CI95_high,CI_excludes_0,MannWhitney_p,rank_biserial,n_Q1,n_Q4,n_valid,Degenerate,p_FDR,Sig_FDR
TAIWAN,M3,SHAP,intra,-0.08201912959292937,-0.22084101567654416,0.04794857663717861,False,0.14572891960194084,0.05391285203813778,486,486,1944,False,0.1923621738745619,False
TAIWAN,M3,SHAP,inter,,,,False,,,1944,1944,1944,True,,False
TAIWAN,M3,LIME,epistemic,0.06597399343919827,-0.05972148185609,0.20109860623647668,False,0.7380635686983795,-0.012396484275770892,486,486,1944,False,0.7494183928322008,False
TAIWAN,M3,LIME,aleatoric,-0.04710021289456663,-0.1722433129729206,0.06603441502255931,False,1.7409818329511084e-06,0.1771833561957019,486,486,1944,False,7.660320064984877e-06,True
TAIWAN,M3,LIME,intra,0.06597399343919827,-0.05972148185609,0.20109860623647668,False,0.7380635686983795,-0.012396484275770892,486,486,1944,False,0.7494183928322008,False
TAIWAN,M3,LIME,inter,,,,False,,,1944,1944,1944,True,,False
TAIWAN,M4,SHAP,epistemic,-0.043572621881770524,-0.17207408583889897,0.07518078587657905,False,0.4972841921831215,0.025079353130841753,489,489,1954,False,0.5470126114014336,False
TAIWAN,M4,SHAP,aleatoric,0.011941211886970912,-0.11938228134158126,0.13791081426763244,False,7.501648502631682e-07,0.18279030281740205,489,489,1954,False,3.536491436954936e-06,True
TAIWAN,M4,SHAP,intra,,,,False,,,1954,1954,1954,True,,False
TAIWAN,M4,SHAP,inter,-0.043572621881770524,-0.17207408583889897,0.07518078587657905,False,0.4972841921831215,0.025079353130841753,489,489,1954,False,0.5470126114014336,False
TAIWAN,M4,LIME,epistemic,-0.05393491657096359,-0.18881458765057885,0.06391214712390192,False,0.45075153006899393,0.02786455392876408,489,489,1954,False,0.5129241549060966,False
TAIWAN,M4,LIME,aleatoric,0.02495885939400157,-0.10674849811993352,0.1523805733908053,False,1.7050534187230868e-05,0.15886935902743804,489,489,1954,False,5.922817138722302e-05,True
TAIWAN,M4,LIME,intra,,,,False,,,1954,1954,1954,True,,False
TAIWAN,M4,LIME,inter,-0.05393491657096359,-0.18881458765057885,0.06391214712390192,False,0.45075153006899393,0.02786455392876408,489,489,1954,False,0.5129241549060966,False
TAIWAN,M5,SHAP,epistemic,-0.10561933264788255,-0.23076814660204462,0.011141192596507667,False,0.3008736526649196,0.03834103879828621,486,486,1943,False,0.36773446436823504,False
TAIWAN,M5,SHAP,aleatoric,-0.029765260503759747,-0.16359319635886127,0.09662874835816841,False,0.2290760854683067,0.0445731511117885,486,486,1943,False,0.28526455926241967,False
TAIWAN,M5,SHAP,intra,-0.14651852460231102,-0.2813790767695357,-0.013412631681590183,True,0.04735728720892531,0.0734898135446832,486,486,1943,False,0.07441859418545407,False
TAIWAN,M5,SHAP,inter,-0.04642268559443129,-0.16853948989405956,0.07613472605463309,False,0.6948876568268143,-0.014538772883537332,486,486,1943,False,0.7389958085198961,False
TAIWAN,M5,LIME,epistemic,-0.08168882250703124,-0.21688005146840197,0.03720622203981548,False,0.04282995510037603,0.07505630916696304,486,486,1943,False,0.06894578138109313,False
TAIWAN,M5,LIME,aleatoric,-0.04304903282074175,-0.16493760679836425,0.0848656022915555,False,0.00043337140031742417,0.13040017612491317,486,486,1943,False,0.0010285795371184128,True
TAIWAN,M5,LIME,intra,-0.11035442015263258,-0.24215398618029454,0.008969977015116362,False,0.017867517174718486,0.08776609256718992,486,486,1943,False,0.031033056145563686,True
TAIWAN,M5,LIME,inter,-0.022486844984225124,-0.15286634582403477,0.09499101288108083,False,0.1949848730720849,0.048027909024708326,486,486,1943,False,0.2474808004376462,False
GMSC,M2,SHAP,epistemic,,,,False,,,1816,1816,1816,True,,False
GMSC,M2,SHAP,aleatoric,-0.024717081650779408,-0.15007179171014137,0.10919119251851905,False,4.159453335537738e-12,0.2657726716994314,454,454,1816,False,2.4956720013226424e-11,True
GMSC,M2,SHAP,intra,,,,False,,,1816,1816,1816,True,,False
GMSC,M2,SHAP,inter,,,,False,,,1816,1816,1816,True,,False
GMSC,M2,LIME,epistemic,,,,False,,,1816,1816,1816,True,,False
GMSC,M2,LIME,aleatoric,-0.010273795566133332,-0.12728922346129806,0.11168072411859346,False,3.3208673563168005e-23,0.3792233499582759,454,454,1816,False,3.65295409194848e-22,True
GMSC,M2,LIME,intra,,,,False,,,1816,1816,1816,True,,False
GMSC,M2,LIME,inter,,,,False,,,1816,1816,1816,True,,False
GMSC,M3,SHAP,epistemic,-0.006465064806045934,-0.11802534616662735,0.09964662809758311,False,1.6835157756855777e-05,0.16499446913388582,454,454,1816,False,5.922817138722302e-05,True
GMSC,M3,SHAP,aleatoric,0.011362043754333716,-0.1100419536315997,0.1405572772381091,False,2.1029650185904054e-10,0.24361039414698515,454,454,1816,False,1.1566307602247229e-09,True
GMSC,M3,SHAP,intra,-0.006465064806045934,-0.11802534616662735,0.09964662809758311,False,1.6835157756855777e-05,0.16499446913388582,454,454,1816,False,5.922817138722302e-05,True
GMSC,M3,SHAP,inter,,,,False,,,1816,1816,1816,True,,False
GMSC,M3,LIME,epistemic,-0.08530900076211254,-0.19249850771322258,0.024494574745068675,False,2.6597651760573385e-27,0.41406780647790564,454,454,1816,False,5.851483387326145e-26,True
GMSC,M3,LIME,aleatoric,-0.027635982172727697,-0.1467877255050935,0.10218275738193126,False,1.8975842105014826e-25,0.39843583224980106,454,454,1816,False,3.1310139473274464e-24,True
GMSC,M3,LIME,intra,-0.08530900076211254,-0.19249850771322258,0.024494574745068675,False,2.6597651760573385e-27,0.41406780647790564,454,454,1816,False,5.851483387326145e-26,True
GMSC,M3,LIME,inter,,,,False,,,1816,1816,1816,True,,False
GMSC,M4,SHAP,epistemic,-0.008354064720153227,-0.14243470750934967,0.12463996128501587,False,0.1314939188251674,0.05757899353559237,458,458,1832,False,0.18080413838460518,False
GMSC,M4,SHAP,aleatoric,-0.02868981255408997,-0.1580328405059206,0.10408505448180706,False,0.018939724187476376,0.0895863923266147,458,458,1832,False,0.03205184093265233,True
GMSC,M4,SHAP,intra,,,,False,,,1832,1832,1832,True,,False
GMSC,M4,SHAP,inter,-0.008354064720153227,-0.14243470750934967,0.12463996128501587,False,0.1314939188251674,0.05757899353559237,458,458,1832,False,0.18080413838460518,False
GMSC,M4,LIME,epistemic,-0.09588692372434716,-0.23766274250790068,0.032866521557369174,False,2.23062708658519e-15,0.3019297877614844,458,458,1832,False,1.635793196829139e-14,True
GMSC,M4,LIME,aleatoric,-0.01100541711024604,-0.13381686623636938,0.10514858714501912,False,2.3647132062193228e-12,0.26665204706241297,458,458,1832,False,1.560710716104753e-11,True
GMSC,M4,LIME,intra,,,,False,,,1832,1832,1832,True,,False
GMSC,M4,LIME,inter,-0.09588692372434716,-0.23766274250790068,0.032866521557369174,False,2.23062708658519e-15,0.3019297877614844,458,458,1832,False,1.635793196829139e-14,True
GMSC,M5,SHAP,epistemic,-0.00823027000630104,-0.1503441761037562,0.12890319075787487,False,0.10960063554546838,0.06075038834906166,463,463,1852,False,0.15725308578262853,False
GMSC,M5,SHAP,aleatoric,-0.03210576311574742,-0.17160676508357123,0.09702372804995171,False,0.00030432518418996773,0.13712337138298913,463,463,1852,False,0.0007725177752514566,True
GMSC,M5,SHAP,intra,-0.05678850738684062,-0.20296839239909928,0.07918581357023075,False,0.03862884842511734,0.07852348054056324,463,463,1852,False,0.0637375999014436,False
GMSC,M5,SHAP,inter,0.11875850465137386,-0.010093039808232226,0.274418755880363,False,0.885111108454022,-0.005490532679631954,463,463,1852,False,0.885111108454022,False
GMSC,M5,LIME,epistemic,-0.11215049386417766,-0.2723716336122494,0.02765342402629052,False,2.2676773695537553e-19,0.3411314135905844,463,463,1852,False,2.138095805579255e-18,True
GMSC,M5,LIME,aleatoric,-0.03829554992415806,-0.15851927220623324,0.08265558036680602,False,3.1075289030370676e-33,0.45436140486730825,463,463,1852,False,2.050969076004465e-31,True
GMSC,M5,LIME,intra,-0.07132100091746588,-0.21285201641273022,0.06628196621897522,False,8.870221597958428e-24,0.3810812197659177,463,463,1852,False,1.1708692509305125e-22,True
GMSC,M5,LIME,inter,0.03105862736940386,-0.10443675301051267,0.18095615801859927,False,0.1486995259692984,0.05478870545647929,463,463,1852,False,0.19243468066615085,False
